,Beta,Gini,Total,Group_probs,Group,Time Window Size
0,0,0.10059980181070105,0.21498977121115548,"{0: np.float64(0.22506824188674435), 1: np.float64(0.19934745550795036), 2: np.float64(0.20270221655485746), 3: np.float64(0.20493600040208643), 4: np.float64(0.1950118717023591), 5: np.float64(0.20306543843044622), 6: np.float64(0.1864496631901305), 7: np.float64(0.211312993268768), 8: np.float64(0.2389351361506045), 9: np.float64(0.135650300772434), 11: np.float64(0.097695813024681)}",Children,30
1,10,0.08834188873774441,0.21515288846779934,"{0: np.float64(0.22171318085449443), 1: np.float64(0.20637964127789152), 2: np.float64(0.2071914317441152), 3: np.float64(0.20628801676316363), 4: np.float64(0.20007038267094174), 5: np.float64(0.20425533353202885), 6: np.float64(0.19226919303216475), 7: np.float64(0.2163043179901504), 8: np.float64(0.23409335671320852), 9: np.float64(0.2650212751883645), 11: np.float64(0.097695813024681)}",Children,30
2,25,0.07430763726421594,0.2154335053521233,"{0: np.float64(0.22026382734279762), 1: np.float64(0.2093905254293867), 2: np.float64(0.2093290751869552), 3: np.float64(0.2086211972701855), 4: np.float64(0.20343099568342887), 5: np.float64(0.2067222610803326), 6: np.float64(0.2015066917136146), 7: np.float64(0.21400568891386393), 8: np.float64(0.23409335671320852), 9: np.float64(0.24214221458915675), 11: np.float64(0.097695813024681)}",Children,30
3,50,0.09011364996738265,0.21717480860584407,"{0: np.float64(0.2210456561836771), 1: np.float64(0.21247687160090928), 2: np.float64(0.212349398253064), 3: np.float64(0.2112370556689408), 4: np.float64(0.20763983388608878), 5: np.float64(0.2115569867315902), 6: np.float64(0.20322117872628148), 7: np.float64(0.21400568891386393), 8: np.float64(0.23409335671320852), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
4,75,0.08669000345811173,0.22083083101477358,"{0: np.float64(0.22428662617890213), 1: np.float64(0.21672881751639242), 2: np.float64(0.21663598152798186), 3: np.float64(0.21533421055061616), 4: np.float64(0.2121938887578163), 5: np.float64(0.21436771377228586), 6: np.float64(0.20934717739749745), 7: np.float64(0.21816043834522147), 8: np.float64(0.23409335671320852), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
5,100,0.08895978232798751,0.22287659747806093,"{0: np.float64(0.22608050684388326), 1: np.float64(0.21912513719074647), 2: np.float64(0.21894179341493572), 3: np.float64(0.2177843109190765), 4: np.float64(0.21491282993075783), 5: np.float64(0.21692775643623396), 6: np.float64(0.21063190312420238), 7: np.float64(0.21816043834522147), 8: np.float64(0.24632614854748766), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
6,250,0.08503387180737072,0.22975387829497618,"{0: np.float64(0.232773801267885), 1: np.float64(0.22623149535132242), 2: np.float64(0.22595241610945746), 3: np.float64(0.22514325605773086), 4: np.float64(0.22149646305765233), 5: np.float64(0.22521639117826858), 6: np.float64(0.21875094302544165), 7: np.float64(0.23388382212423986), 8: np.float64(0.24632614854748766), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
7,500,0.08255210652710786,0.2321090252475875,"{0: np.float64(0.23506116280632042), 1: np.float64(0.22857764659684082), 2: np.float64(0.22857693860156045), 3: np.float64(0.22762854116130216), 4: np.float64(0.22389693662795526), 5: np.float64(0.2279685932277526), 6: np.float64(0.2215450077469555), 7: np.float64(0.22994422925458127), 8: np.float64(0.24632614854748766), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
8,750,0.08215745493771663,0.2330190323699527,"{0: np.float64(0.2359804148334577), 1: np.float64(0.22963285599550612), 2: np.float64(0.22933890059888054), 3: np.float64(0.2284551641848839), 4: np.float64(0.22465211133411725), 5: np.float64(0.22870030274550748), 6: np.float64(0.22233339293055143), 7: np.float64(0.2309072391743621), 8: np.float64(0.24632614854748766), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
9,1000,0.08219624605828509,0.23304442894492153,"{0: np.float64(0.23595874748140522), 1: np.float64(0.22970674821787915), 2: np.float64(0.22950408502331962), 3: np.float64(0.22855380913108814), 4: np.float64(0.22463629419163594), 5: np.float64(0.22858651110181696), 6: np.float64(0.22219459211280823), 7: np.float64(0.2309072391743621), 8: np.float64(0.24632614854748766), 9: np.float64(0.24214221458915675), 11: np.float64(0.0555865533156252)}",Children,30
